Zeit;Kanal A
(ms);(mV)

-25,00906155;0,18762300
-25,00406155;1,88053600
-24,99906155;1,50467500
-24,99406155;3,38582700
-24,98906155;1,12819900
-24,98406155;1,12819900
-24,97906155;1,12819900
-24,97406155;1,12819900
-24,96906155;0,00000000
-24,96406155;1,31643700
-24,95906155;0,37586120
-24,95406155;2,06877400
-24,94906155;1,88053600
-24,94406155;2,44525100
-24,93906155;1,50467500
-24,93406155;1,31643700
-24,92906155;0,93996060
-24,92406155;1,50467500
-24,91906155;1,69291300
-24,91406155;1,50467500
-24,90906155;2,44525100
-24,90406155;2,44525100
-24,89906155;1,50467500
-24,89406155;1,88053600
-24,88906155;0,56409940
-24,88406155;2,63348900
-24,87906155;1,69291300
-24,87406156;2,25701300
-24,86906156;2,06877400
-24,86406156;-0,18762300
-24,85906156;0,93996060
-24,85406156;1,50467500
-24,84906156;0,56409940
-24,84406156;1,50467500
-24,83906156;0,18762300
-24,83406156;0,56409940
-24,82906156;0,93996060
-24,82406156;2,06877400
-24,81906156;0,93996060
-24,81406156;2,82111200
-24,80906156;1,50467500
-24,80406156;0,18762300
-24,79906156;0,37586120
-24,79406156;1,88053600
-24,78906156;3,38582700
-24,78406156;1,88053600
-24,77906156;3,57345000
-24,77406156;3,00935000
-24,76906156;1,88053600
-24,76406156;2,63348900
-24,75906156;2,44525100
-24,75406156;1,69291300
-24,74906156;2,44525100
-24,74406156;1,50467500
-24,73906156;2,44525100
-24,73406156;0,93996060
-24,72906156;2,06877400
-24,72406156;1,69291300
-24,71906156;2,82111200
-24,71406156;1,31643700
-24,70906156;2,63348900
-24,70406156;1,12819900
-24,69906156;1,50467500
-24,69406156;1,12819900
-24,68906156;2,06877400
-24,68406156;2,25701300
-24,67906156;0,37586120
-24,67406156;3,19758800
-24,66906156;2,25701300
-24,66406156;2,44525100
-24,65906156;2,25701300
-24,65406156;2,25701300
-24,64906156;2,06877400
-24,64406156;3,38582700
-24,63906156;2,06877400
-24,63406156;1,12819900
-24,62906156;2,44525100
